user_id,train_movies
196,"Movie name: ""Kolya (1996)"", Movie Genre: Comedy Rating: 3,
Movie name: ""Mrs. Doubtfire (1993)"", Movie Genre: Comedy Rating: 4,
Movie name: ""Muriel's Wedding (1994)"", Movie Genre: Comedy, Romance Rating: 4,
Movie name: ""Shall We Dance? (1996)"", Movie Genre: Comedy Rating: 3,
Movie name: ""Stand by Me (1986)"", Movie Genre: Adventure, Comedy, Drama Rating: 5,
Movie name: ""Ace Ventura: Pet Detective (1994)"", Movie Genre: Comedy Rating: 5,
Movie name: ""Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"", Movie Genre: Drama, Romance Rating: 4,
Movie name: ""Raising Arizona (1987)"", Movie Genre: Comedy Rating: 4,
Movie name: ""Being There (1979)"", Movie Genre: Comedy Rating: 5,
Movie name: ""Truth About Cats & Dogs, The (1996)"", Movie Genre: Comedy, Romance Rating: 4"
186,"Movie name: ""L.A. Confidential (1997)"", Movie Genre: Crime, Film-Noir, Mystery, Thriller Rating: 3,
Movie name: ""Clear and Present Danger (1994)"", Movie Genre: Action, Adventure, Thriller Rating: 5,
Movie name: ""Fifth Element, The (1997)"", Movie Genre: Action, Sci-Fi Rating: 1,
Movie name: ""Ghost and the Darkness, The (1996)"", Movie Genre: Action, Adventure Rating: 4,
Movie name: ""Steel (1997)"", Movie Genre: Action Rating: 3,
Movie name: ""Tombstone (1993)"", Movie Genre: Western Rating: 5,
Movie name: ""Rich Man's Wife, The (1996)"", Movie Genre: Thriller Rating: 3,
Movie name: ""River Wild, The (1994)"", Movie Genre: Action, Thriller Rating: 4,
Movie name: ""True Lies (1994)"", Movie Genre: Action, Adventure, Comedy, Romance Rating: 4,
Movie name: ""Beauty and the Beast (1991)"", Movie Genre: Animation, Children's, Musical Rating: 4"
22,"Movie name: ""Heavyweights (1994)"", Movie Genre: Children's, Comedy Rating: 1,
Movie name: ""Houseguest (1994)"", Movie Genre: Comedy Rating: 3,
Movie name: ""Supercop (1992)"", Movie Genre: Action, Thriller Rating: 5,
Movie name: ""Hot Shots! Part Deux (1993)"", Movie Genre: Action, Comedy, War Rating: 4,
Movie name: ""Last of the Mohicans, The (1992)"", Movie Genre: Action, Romance, War Rating: 3,
Movie name: ""Contact (1997)"", Movie Genre: Drama, Sci-Fi Rating: 5,
Movie name: ""Magnificent Seven, The (1954)"", Movie Genre: Action, Drama, Western Rating: 5,
Movie name: ""Fugitive, The (1993)"", Movie Genre: Action, Thriller Rating: 4,
Movie name: ""Baby-Sitters Club, The (1995)"", Movie Genre: Children's Rating: 1,
Movie name: ""Lawrence of Arabia (1962)"", Movie Genre: Adventure, War Rating: 4"
244,"Movie name: ""Legends of the Fall (1994)"", Movie Genre: Drama, Romance, War, Western Rating: 2,
Movie name: ""One Fine Day (1996)"", Movie Genre: Drama, Romance Rating: 4,
Movie name: ""Father of the Bride Part II (1995)"", Movie Genre: Comedy Rating: 2,
Movie name: ""Cape Fear (1962)"", Movie Genre: Film-Noir, Thriller Rating: 3,
Movie name: ""Blues Brothers, The (1980)"", Movie Genre: Action, Comedy, Musical Rating: 3,
Movie name: ""Hunt for Red October, The (1990)"", Movie Genre: Action, Thriller Rating: 4,
Movie name: ""From Dusk Till Dawn (1996)"", Movie Genre: Action, Comedy, Crime, Horror, Thriller Rating: 2,
Movie name: ""Muriel's Wedding (1994)"", Movie Genre: Comedy, Romance Rating: 4,
Movie name: ""Enchanted April (1991)"", Movie Genre: Drama Rating: 4,
Movie name: ""Die Hard: With a Vengeance (1995)"", Movie Genre: Action, Thriller Rating: 1"
166,"Movie name: ""Jackie Brown (1997)"", Movie Genre: Crime, Drama Rating: 1,
Movie name: ""Conspiracy Theory (1997)"", Movie Genre: Action, Mystery, Romance, Thriller Rating: 5,
Movie name: ""Murder at 1600 (1997)"", Movie Genre: Mystery, Thriller Rating: 5,
Movie name: ""Scream (1996)"", Movie Genre: Horror, Thriller Rating: 3,
Movie name: ""Contact (1997)"", Movie Genre: Drama, Sci-Fi Rating: 4,
Movie name: ""Alien: Resurrection (1997)"", Movie Genre: Action, Horror, Sci-Fi Rating: 4,
Movie name: ""Air Force One (1997)"", Movie Genre: Action, Thriller Rating: 5,
Movie name: ""Home Alone 3 (1997)"", Movie Genre: Children's, Comedy Rating: 4,
Movie name: ""Dante's Peak (1997)"", Movie Genre: Action, Thriller Rating: 5,
Movie name: ""Saint, The (1997)"", Movie Genre: Action, Romance, Thriller Rating: 2"
298,"Movie name: ""Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"", Movie Genre: Sci-Fi, War Rating: 4,
Movie name: ""In the Name of the Father (1993)"", Movie Genre: Drama Rating: 4,
Movie name: ""River Wild, The (1994)"", Movie Genre: Action, Thriller Rating: 3,
Movie name: ""Sabrina (1954)"", Movie Genre: Comedy, Romance Rating: 3,
Movie name: ""Return of the Jedi (1983)"", Movie Genre: Action, Adventure, Romance, Sci-Fi, War Rating: 4,
Movie name: ""Sword in the Stone, The (1963)"", Movie Genre: Animation, Children's Rating: 4,
Movie name: ""Dingo (1992)"", Movie Genre: Drama Rating: 3,
Movie name: ""Lost World: Jurassic Park, The (1997)"", Movie Genre: Action, Adventure, Sci-Fi, Thriller Rating: 4,
Movie name: ""Sleeper (1973)"", Movie Genre: Comedy, Sci-Fi Rating: 3,
Movie name: ""Nightmare Before Christmas, The (1993)"", Movie Genre: Children's, Comedy, Musical Rating: 2"
115,"Movie name: ""Hunt for Red October, The (1990)"", Movie Genre: Action, Thriller Rating: 2,
Movie name: ""Angels and Insects (1995)"", Movie Genre: Drama, Romance Rating: 3,
Movie name: ""Bottle Rocket (1996)"", Movie Genre: Comedy Rating: 4,
Movie name: ""Babe (1995)"", Movie Genre: Children's, Comedy, Drama Rating: 5,
Movie name: ""Godfather, The (1972)"", Movie Genre: Action, Crime, Drama Rating: 5,
Movie name: ""True Romance (1993)"", Movie Genre: Action, Crime, Romance Rating: 4,
Movie name: ""Star Trek: The Wrath of Khan (1982)"", Movie Genre: Action, Adventure, Sci-Fi Rating: 4,
Movie name: ""Jaws (1975)"", Movie Genre: Action, Horror Rating: 5,
Movie name: ""Seven (Se7en) (1995)"", Movie Genre: Crime, Thriller Rating: 4,
Movie name: ""Beautiful Girls (1996)"", Movie Genre: Drama Rating: 4"
253,"Movie name: ""Jungle Book, The (1994)"", Movie Genre: Adventure, Children's, Romance Rating: 5,
Movie name: ""George of the Jungle (1997)"", Movie Genre: Children's, Comedy Rating: 2,
Movie name: ""Dances with Wolves (1990)"", Movie Genre: Adventure, Drama, Western Rating: 4,
Movie name: ""Real Genius (1985)"", Movie Genre: Comedy Rating: 3,
Movie name: ""Magnificent Seven, The (1954)"", Movie Genre: Action, Drama, Western Rating: 5,
Movie name: ""When Harry Met Sally... (1989)"", Movie Genre: Comedy, Romance Rating: 4,
Movie name: ""Star Wars (1977)"", Movie Genre: Action, Adventure, Romance, Sci-Fi, War Rating: 4,
Movie name: ""Alien (1979)"", Movie Genre: Action, Horror, Sci-Fi, Thriller Rating: 5,
Movie name: ""Unforgiven (1992)"", Movie Genre: Western Rating: 4,
Movie name: ""Benny & Joon (1993)"", Movie Genre: Comedy, Romance Rating: 3"
305,"Movie name: ""Grease (1978)"", Movie Genre: Comedy, Musical, Romance Rating: 3,
Movie name: ""To Kill a Mockingbird (1962)"", Movie Genre: Drama Rating: 5,
Movie name: ""Rock, The (1996)"", Movie Genre: Action, Adventure, Thriller Rating: 2,
Movie name: ""Courage Under Fire (1996)"", Movie Genre: Drama, War Rating: 4,
Movie name: ""Pink Floyd - The Wall (1982)"", Movie Genre: Drama, Musical, War Rating: 2,
Movie name: ""Bob Roberts (1992)"", Movie Genre: Comedy Rating: 4,
Movie name: ""Lion King, The (1994)"", Movie Genre: Animation, Children's, Musical Rating: 3,
Movie name: ""Chinatown (1974)"", Movie Genre: Film-Noir, Mystery, Thriller Rating: 4,
Movie name: ""Wings of Desire (1987)"", Movie Genre: Comedy, Drama, Romance Rating: 4,
Movie name: ""Casablanca (1942)"", Movie Genre: Drama, Romance, War Rating: 5"
6,"Movie name: ""Remains of the Day, The (1993)"", Movie Genre: Drama Rating: 3,
Movie name: ""Postino, Il (1994)"", Movie Genre: Drama, Romance Rating: 5,
Movie name: ""Silence of the Lambs, The (1991)"", Movie Genre: Drama, Thriller Rating: 5,
Movie name: ""Secret of Roan Inish, The (1994)"", Movie Genre: Adventure Rating: 4,
Movie name: ""In & Out (1997)"", Movie Genre: Comedy Rating: 2,
Movie name: ""Contact (1997)"", Movie Genre: Drama, Sci-Fi Rating: 2,
Movie name: ""Forrest Gump (1994)"", Movie Genre: Comedy, Romance, War Rating: 3,
Movie name: ""Manhattan (1979)"", Movie Genre: Comedy, Drama, Romance Rating: 4,
Movie name: ""Taxi Driver (1976)"", Movie Genre: Drama, Thriller Rating: 4,
Movie name: ""East of Eden (1955)"", Movie Genre: Drama Rating: 5"
62,"Movie name: ""Men in Black (1997)"", Movie Genre: Action, Adventure, Comedy, Sci-Fi Rating: 2,
Movie name: ""African Queen, The (1951)"", Movie Genre: Action, Adventure, Romance, War Rating: 4,
Movie name: ""Adventures of Priscilla, Queen of the Desert, The (1994)"", Movie Genre: Comedy, Drama Rating: 3,
Movie name: ""Muppet Treasure Island (1996)"", Movie Genre: Action, Adventure, Comedy, Musical, Thriller Rating: 3,
Movie name: ""What's Eating Gilbert Grape (1993)"", Movie Genre: Comedy, Drama Rating: 4,
Movie name: ""Tin Men (1987)"", Movie Genre: Comedy, Drama Rating: 4,
Movie name: ""Usual Suspects, The (1995)"", Movie Genre: Crime, Thriller Rating: 4,
Movie name: ""Con Air (1997)"", Movie Genre: Action, Adventure, Thriller Rating: 4,
Movie name: ""Crow, The (1994)"", Movie Genre: Action, Romance, Thriller Rating: 1,
Movie name: ""Alien 3 (1992)"", Movie Genre: Action, Horror, Sci-Fi, Thriller Rating: 2"
286,"Movie name: ""Romy and Michele's High School Reunion (1997)"", Movie Genre: Comedy Rating: 5,
Movie name: ""Young Frankenstein (1974)"", Movie Genre: Comedy, Horror Rating: 4,
Movie name: ""Tales From the Crypt Presents: Demon Knight (1995)"", Movie Genre: Horror Rating: 5,
Movie name: ""Delicatessen (1991)"", Movie Genre: Comedy, Sci-Fi Rating: 4,
Movie name: ""Sound of Music, The (1965)"", Movie Genre: Musical Rating: 4,
Movie name: ""Jerry Maguire (1996)"", Movie Genre: Drama, Romance Rating: 2,
Movie name: ""Scream (1996)"", Movie Genre: Horror, Thriller Rating: 5,
Movie name: ""Fish Called Wanda, A (1988)"", Movie Genre: Comedy Rating: 5,
Movie name: ""Snow White and the Seven Dwarfs (1937)"", Movie Genre: Animation, Children's, Musical Rating: 4,
Movie name: ""One Flew Over the Cuckoo's Nest (1975)"", Movie Genre: Drama Rating: 4"
200,"Movie name: ""Star Trek: First Contact (1996)"", Movie Genre: Action, Adventure, Sci-Fi Rating: 5,
Movie name: ""Cape Fear (1962)"", Movie Genre: Film-Noir, Thriller Rating: 5,
Movie name: ""Schindler's List (1993)"", Movie Genre: Drama, War Rating: 5,
Movie name: ""Fly Away Home (1996)"", Movie Genre: Adventure, Children's Rating: 5,
Movie name: ""Terminator 2: Judgment Day (1991)"", Movie Genre: Action, Sci-Fi, Thriller Rating: 5,
Movie name: ""Powder (1995)"", Movie Genre: Drama Rating: 5,
Movie name: ""Seven (Se7en) (1995)"", Movie Genre: Crime, Thriller Rating: 5,
Movie name: ""Flubber (1997)"", Movie Genre: Children's, Comedy, Fantasy Rating: 4,
Movie name: ""Beauty and the Beast (1991)"", Movie Genre: Animation, Children's, Musical Rating: 5,
Movie name: ""Philadelphia Story, The (1940)"", Movie Genre: Comedy, Romance Rating: 5"
210,"Movie name: ""To Wong Foo, Thanks for Everything! Julie Newmar (1995)"", Movie Genre: Comedy Rating: 3,
Movie name: ""Back to the Future (1985)"", Movie Genre: Comedy, Sci-Fi Rating: 5,
Movie name: ""Four Weddings and a Funeral (1994)"", Movie Genre: Comedy, Romance Rating: 4,
Movie name: ""Dances with Wolves (1990)"", Movie Genre: Adventure, Drama, Western Rating: 5,
Movie name: ""Gandhi (1982)"", Movie Genre: Drama Rating: 5,
Movie name: ""Sabrina (1995)"", Movie Genre: Comedy, Romance Rating: 5,
Movie name: ""One Flew Over the Cuckoo's Nest (1975)"", Movie Genre: Drama Rating: 5,
Movie name: ""Top Gun (1986)"", Movie Genre: Action, Romance Rating: 5,
Movie name: ""Star Trek: Generations (1994)"", Movie Genre: Action, Adventure, Sci-Fi Rating: 4,
Movie name: ""Quiz Show (1994)"", Movie Genre: Drama Rating: 4"
224,"Movie name: ""Batman Forever (1995)"", Movie Genre: Action, Adventure, Comedy, Crime Rating: 3,
Movie name: ""Devil's Own, The (1997)"", Movie Genre: Action, Drama, Thriller, War Rating: 3,
Movie name: ""Brothers McMullen, The (1995)"", Movie Genre: Comedy Rating: 3,
Movie name: ""Firm, The (1993)"", Movie Genre: Drama, Thriller Rating: 4,
Movie name: ""Forrest Gump (1994)"", Movie Genre: Comedy, Romance, War Rating: 4,
Movie name: ""12 Angry Men (1957)"", Movie Genre: Drama Rating: 4,
Movie name: ""Romeo Is Bleeding (1993)"", Movie Genre: Crime, Thriller Rating: 1,
Movie name: ""Volcano (1997)"", Movie Genre: Drama, Thriller Rating: 3,
Movie name: ""Amadeus (1984)"", Movie Genre: Drama, Mystery Rating: 4,
Movie name: ""Picture Perfect (1997)"", Movie Genre: Comedy, Romance Rating: 2"
